Tamil,English
நான்,I
நீங்கள்,You
ஒரு,A
இல்லை,Not
என்ன,What
என்று,That
வேண்டும்,Should
இந்த,These
நாம்,We
சரி,Right
என்,My
அது,That
நீ,You
அவர்,He
உங்கள்,Your
இது,It
எனக்கு,Me
மற்றும்,And
உள்ளது,Is there
அதை,It
என்னை,Me
தான்,Just
அவர்கள்,They
ஆனால்,But
அந்த,That
செய்ய,To do
இங்கே,Here
ஆமாம்,Yes
முடியும்,Can
நாங்கள்,We are
இப்போது,Now
பற்றி,About
தெரியும்,Perceived
முடியாது,Can not
ஓ,Oh
இருந்தது,Was
எப்படி,How
சில,Some
இருக்க,To be
ஏன்,Why
அனைத்து,All
இருக்கும்,Will be
நல்ல,Good
அவரை,Him
வெளியே,Out
இருக்கிறது,Is there
அவள்,She
மிகவும்,Highly
செய்து,Do
இருந்து,From
பார்க்க,To see
மீண்டும்,Again
அங்கு,Where
இன்னும்,Still
உங்களுக்கு,You
நன்றி,Thanks
வேண்டாம்,Not
என்றால்,So if
வேலை,Work
யார்,Who
கிடைத்தது,Got
உனக்கு,You
நேரம்,Time
அல்லது,Or
போகிறேன்,I am Going
போது,When
எந்த,Which
விட்டு,Left
எனவே,Therefore
ஏய்,Hey
எங்கே,Where
வரை,Slide
நன்றாக,Well
இருக்கிறேன்,Am i
அவரது,His
எடுத்து,Take
பெற,To receive
உன்னை,You
கீழே,Down
கிடைக்கும்,Available
சொல்ல,To say
தெரியாது,Don't know
உள்ளன,Are there
மனிதன்,Man
ஆம்,Yes
போ,Go
இரண்டு,Two
மீது,On
இங்கு,Here
மக்கள்,People
ஏதாவது,Something
எங்கள்,Our
வா.,Come.
நினைக்கிறேன்,I think
இல்ல,No
உன்,Thy
கூட,Too
போன்ற,Similar
உண்மையில்,In fact
வா,Come
